frame,timestamp_s,pitch_deg,yaw_deg,roll_deg,is_nod
0,0.000,8.81,25.49,-0.72,0
1,0.042,7.07,5.21,-4.15,0
2,0.083,6.71,4.49,-4.25,0
3,0.125,6.84,0.01,-4.71,0
4,0.167,6.97,2.57,-4.70,0
5,0.208,6.23,1.54,-4.78,0
6,0.250,5.86,2.38,-4.91,0
7,0.292,5.37,3.54,-5.03,0
8,0.333,4.67,4.33,-5.16,0
9,0.375,4.29,4.63,-5.20,0
10,0.417,4.23,4.65,-5.02,0
11,0.458,4.12,4.77,-5.09,0
12,0.500,4.35,4.73,-5.24,0
13,0.542,4.77,4.04,-5.43,0
14,0.583,4.51,4.53,-5.39,0
15,0.625,5.26,3.77,-5.54,0
16,0.667,5.79,2.51,-5.67,0
17,0.708,5.72,2.48,-5.44,0
18,0.750,5.91,2.46,-5.51,0
19,0.792,6.33,4.41,-5.08,0
20,0.833,6.26,2.59,-5.28,0
21,0.875,6.32,1.50,-5.11,0
22,0.917,6.51,2.09,-4.92,0
23,0.958,6.56,1.31,-4.94,0
24,1.000,6.25,4.40,-4.69,0
25,1.042,6.46,2.40,-5.03,0
26,1.083,6.31,2.76,-4.87,0
27,1.125,6.24,2.44,-5.14,0
28,1.167,6.12,2.99,-4.90,0
29,1.208,6.53,2.53,-4.98,0
30,1.250,6.58,1.97,-5.12,0
31,1.292,6.17,1.85,-5.00,0
32,1.333,5.88,3.03,-4.97,0
33,1.375,4.83,4.63,-4.51,0
34,1.417,4.41,3.95,-4.45,0
35,1.458,3.87,2.92,-4.35,0
36,1.500,3.66,4.26,-4.07,0
37,1.542,3.52,4.72,-4.01,0
38,1.583,3.98,4.64,-3.95,0
39,1.625,4.51,6.10,-3.73,0
40,1.667,4.64,5.24,-3.72,0
41,1.708,4.42,2.97,-3.54,0
42,1.750,4.31,1.84,-2.65,0
43,1.792,4.72,-2.45,-3.31,0
44,1.833,5.53,-2.28,-2.42,0
45,1.875,6.51,-1.78,-2.25,0
46,1.917,6.36,-0.15,-1.69,0
47,1.958,8.68,-0.84,-1.45,0
48,2.000,9.81,-2.25,-1.64,0
49,2.042,10.17,-3.82,-1.75,0
50,2.083,9.94,-4.43,-1.64,0
51,2.125,9.57,-3.92,-1.77,0
52,2.167,9.44,-4.08,-1.60,1
53,2.208,8.31,-2.92,-1.72,0
54,2.250,7.82,-2.50,-1.77,0
55,2.292,6.61,-2.36,-1.79,0
56,2.333,4.97,-4.04,-1.96,0
57,2.375,5.04,-5.27,-2.40,0
58,2.417,3.87,-2.67,-2.10,0
59,2.458,4.61,-3.75,-2.39,0
60,2.500,4.18,-3.44,-2.67,0
61,2.542,5.05,-1.82,-2.56,0
62,2.583,5.40,-1.87,-2.37,0
